branch_updates,candidate_hit_after,candidate_hit_before,eval_sample_count,false_reject_after,false_reject_before,mode,nutrient_reward_total,ood_false_accept_after,ood_false_accept_before,root_updates,seed,stage_name,stage_passed,stage_runtime_seconds,supported_success_after,supported_success_before,toxicity_total,train_sample_count
2000,0.94,0.8,50,0.06,0.2,quick,391.0,0.0,0.0,400,42,symbolic_single_op,True,0.000443,0.94,0.8,0.0,391
2000,0.94,0.8,50,0.06,0.2,quick,385.0,0.0,0.0,400,42,symbolic_two_op,True,0.000443,0.94,0.8,0.0,385
2000,0.943396,0.792453,53,0.056604,0.207547,quick,386.0,0.0,0.0,400,42,precedence,True,0.000443,0.943396,0.792453,0.0,386
2000,0.931818,0.795455,44,0.068182,0.204545,quick,426.0,0.0,0.0,400,42,parentheses,True,0.000443,0.931818,0.795455,0.0,426
2000,0.904762,0.761905,21,0.095238,0.238095,quick,199.0,0.0,0.0,400,42,negative_numbers,True,0.000443,0.904762,0.761905,0.0,199
2000,0.9375,0.78125,32,0.0625,0.21875,quick,213.0,0.0,0.0,400,42,exact_division,True,0.000443,0.9375,0.78125,0.0,213
2000,0.948,0.8,0,0.052,0.2,quick,0.0,0.0,0.0,400,42,boundary_rejection,True,0.000443,0.948,0.8,0.0,0
2000,0.0,0.0,83,0.0,0.0,quick,0.0,0.0,0.0,400,42,trap_rejection,True,0.000443,0.0,0.0,0.0,0
2000,0.0,0.0,167,0.0,0.0,quick,0.0,0.0,0.0,400,42,future_near_ood_quarantine,True,0.000443,0.0,0.0,0.0,0
2000,0.948,0.8,500,0.052,0.2,quick,2000.0,0.0,0.0,400,42,mixed_final,True,0.000443,0.948,0.8,0.0,2000
7500,0.947712,0.797386,153,0.052288,0.202614,small,701.0,0.0,0.0,1500,42,symbolic_single_op,True,0.001307,0.947712,0.797386,0.0,701
7500,0.945205,0.794521,146,0.054795,0.205479,small,703.0,0.0,0.0,1500,42,symbolic_two_op,True,0.001307,0.945205,0.794521,0.0,703
7500,0.946429,0.797619,168,0.053571,0.202381,small,691.0,0.0,0.0,1500,42,precedence,True,0.001307,0.946429,0.797619,0.0,691
7500,0.945205,0.794521,146,0.054795,0.205479,small,702.0,0.0,0.0,1500,42,parentheses,True,0.001307,0.945205,0.794521,0.0,702
7500,0.95,0.8,60,0.05,0.2,small,364.0,0.0,0.0,1500,42,negative_numbers,True,0.001307,0.95,0.8,0.0,364
7500,0.948052,0.792208,77,0.051948,0.207792,small,339.0,0.0,0.0,1500,42,exact_division,True,0.001307,0.948052,0.792208,0.0,339
7500,0.949333,0.8,0,0.050667,0.2,small,1200.0,0.0,0.0,1500,42,boundary_rejection,True,0.001307,0.949333,0.8,0.0,1200
