[OPT][elapsed=00:00:00][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=0 link=0 exe=0 ok=0.000 mirror=A_active/B_frozen feedback=0 rq_adjust=0 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=21.316 queue=normal
[OPT][elapsed=00:00:10][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=198 link=198 exe=198 ok=1.000 mirror=A_active/B_frozen feedback=11 rq_adjust=2 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.207 queue=normal
[OPT][elapsed=00:00:20][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=382 link=382 exe=382 ok=1.000 mirror=A_active/B_frozen feedback=22 rq_adjust=3 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.68 queue=normal
[OPT][elapsed=00:00:30][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.289 queue=normal
[OPT][elapsed=00:00:40][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.289 queue=normal
[OPT][elapsed=00:00:50][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.234 queue=normal
[OPT][elapsed=00:01:00][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.234 queue=normal
[OPT][elapsed=00:01:10][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.234 queue=normal
[OPT][elapsed=00:01:20][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.234 queue=normal
[OPT][elapsed=00:01:30][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.234 queue=normal
[OPT][elapsed=00:01:40][cycle=smoke/1][phase=smoke_gate] frontend=2000 syntax=2000 backend_cl=500 link=500 exe=500 ok=1.000 mirror=A_active/B_frozen feedback=29 rq_adjust=5 lane_swaps=0 artifact_root=C:\Users\Air\AppData\Local\Temp\jianmu_compiler_integrity_artifacts\v1_0_8_8_2 git_guard=clean security=clean rss_mb=22.234 queue=normal
